city,country,longitude,latitude
Portland,United States of America,-122.66,45.47
Austin,United States of America,-97.67,30.26
Charlotte,United States of America,-80.8,35.22
Mexico,Mexico,-99.14,19.5
Lima,Peru,-77.02824,-12.04318
Bogotá,Colombia,-74.08175,4.60971
Bahía Blanca,Argentina,-62.27243,-38.71959
Santiago,Chile,-70.93,-33.49
Manaus,Brazil,-60.025,-3.10194
Ascencion,Paraguay,-57.02,-25.23
Belém,Brazil,-48.50444,-1.45583
Brasília,Brazil,-47.92972,-15.77972
Salvador,Brazil,-38.51083,-12.97111
Nurmberg,Germany,11.44,49.52
Ankara,Turkey,32.89,39.92
Volgograd,Russia,44.52,48.73
Tashkent,Uzbekistan,69.57,41.14
Karaganda ,Kazakhstan,73.11,49.8
New Dehli,India,76.64,28.71
Bangkok,Thailand,100.50144,13.75398
Ulan Bator,Mongolia,106.91,47.88
Sibu,Malaysia,111.81667,2.3
Kobe,Japan,135.16,34.7
Darwin,Australia,130.84185,-12.46113
Port Moresby,Papua New Guinea,147.15089,-9.47723
Auckland,New Zealand,174.58,-36.8
Algiers,Algeria,3.08746,36.73225
Medina,Saudi Arabia,39.61417,24.46861
Bamako,Mali,-8.1,12.64
Abuja,Nigeria,7.44,9.44
Luanda,Angola,13.23432,-8.83682
Antananarivo,Madagascar,47.53613,-18.91368
Pretoria,South Africa,28.11,-25.63
Kampala,Uganda,32.58219,0.31628
Addis Abeba,Ethiopia,38.75,8.97
